,id_in_matched,ra,dec,StetsonK,Eta_e,Std,Skew,SmallKurtosis,Con,Meanvariance
0,0.0,14.946814,-25.8776946,0.792703329533,5.04926473,0.219641847837,1.15319182826,2.18269173537,0.0,0.013061623444
1,3.0,15.0400366,-25.613987,0.872021404233,2.90445683962,0.153532456128,0.31477422889,0.392473009488,0.0,0.00902552924619
2,5.0,15.3001449,-25.644861,0.755922979909,5.06261044273,0.118072536424,0.912638013719,2.66037782695,0.0,0.00680601215564
3,6.0,14.8888983,-25.8057174,0.767066535771,5.90300355647,0.160251276687,-0.49589360587,1.64766755116,0.0,0.00924295420044
4,8.0,14.476003,-25.3374927,0.788775092862,3.43399903971,0.151232498339,0.378531556353,-0.379085626426,0.0,0.00885971078001
5,9.0,14.2141066,-25.7504034,0.753179518855,2.71990451848,0.0814784190192,-0.138997393092,1.00273042807,0.0,0.00506448066408
6,10.0,14.4424135,-25.7002854,0.747612184306,4.0595907281,0.110485368595,-0.0317284808784,1.24920134794,0.0,0.00672937593029
7,11.0,14.4244437,-25.6011382,0.819848483546,4.65195248425,0.0988374688275,-0.312583064668,0.36729058794,0.0,0.00607564080211
8,12.0,14.3437617,-25.5917111,0.832990283552,3.88751931208,0.120580474443,-0.0276284554465,0.106868427885,0.0,0.0073559911525
9,13.0,14.2712746,-25.678375,0.785468858928,3.56984680815,0.0762814134135,0.335166976883,0.0812911009449,0.0,0.0046926993941
10,14.0,14.3500096,-25.4141674,0.839929190758,2.57532679435,0.221401573773,0.452960212699,-0.141532861771,0.0,0.0129273779764
11,15.0,14.4141913,-25.4327161,0.748664669966,4.63683805917,0.168887536494,-0.33093889328,1.45716330318,0.0,0.00984916622774
12,16.0,15.4216389,-25.5776273,0.715766745976,2.26987096161,0.143121831948,-1.89543136924,6.28156680129,0.0,0.00851558102023
13,17.0,14.3647232,-25.5313921,0.810725770942,3.82259460775,0.158156165256,0.213470423448,-0.280558438525,0.0,0.00916967481091
14,18.0,14.3316796,-25.4851576,0.802032607499,1.87252396858,0.119955394579,-0.279310536371,0.222076395386,0.0,0.00702662149719
15,19.0,15.3139131,-25.5389262,0.744025753364,3.44595836919,0.249058831066,0.740772806694,1.72628699023,0.0,0.0147117523221
16,20.0,15.183257,-25.5867858,0.766038237215,2.710738296,0.119577957851,0.444742116104,1.85143240123,0.0,0.00704868106159
17,21.0,15.3254757,-25.5535433,0.81339125085,4.08855779166,0.172427885993,0.634060153848,0.814946037958,0.0,0.010207325287
